id,tweet
1491914061277184002,"@MarchaDaFamili1 @senadorhumberto @LulaOficial  tem tanto medo de sair as ruas e enfrentar o povo até mesmo no nordeste, que no forte da campanha eleitoral ele vai dizer que está com covid 😂😂
#SaiaARuaLula 
#PT42AnosDeMentiras 
#PT42AnosDeMentiras
#PT42AnosDeMentiras
#PT42AnosDeMentiras"
1491914034920177669,Fim do isolamento do covid 🙌🏽
1491913999671345161,Conass: Brasil registra 943 mortes e 164.066 casos de covid-19 em 24h - ISTOÉ Independente https://t.co/XL3QhxsSA8
1491913980557803525,"Reforço da Pfizer após Coronavac eleva eficácia contra a Covid para 92,7%, diz estudo https://t.co/tEz9ZT4rSe 
Proteção para evitar casos graves chega a 97,3%, segundo trabalho publicado na Nature"
1491913967123546129,"Oi!! Parem TUDO!!!!
O conflito com a Russia acabou ,a seca,o covid,porque houve um pseudo-qualquer coisa de ataque prevenido por causa de uma encomenda de assassinato na dark-web para ele o fazer pessoalmente. https://t.co/PgwIL9vlLS"
1491913966976700416,"Vários estados já oferecem a 4ª dose da vacina contra a covid-19, mas Ministério da Saúde orienta que seja dada prioridade a quem não completou o esquema de vacinação. Assista ao #JornalDaRecord ao vivo: https://t.co/Am4gLCD6We #JR24H https://t.co/rHAYy1rrEg"
1491913953164902407,meu tio foi antivax até o momento da escola cobrar crianças vacinadas... levou o filho dele no posto e vacinou o menino pra covid na hora
1491913946349064192,"A Secretaria da Saúde disse que segue a recomendação do Ministério da Saúde para aplicação da quarta dose primeiramente restrita aos imunossuprimidos
https://t.co/Smpp9X4dfJ #g1ce"
1491913942842720269,"Se considerar o pós covid esse valor seguramente diminuiu, junto ao poder de compra do povo cabense. Precisamos barrar esse absurdo! 

#fojuca #juventude #politicaspublicas
#controlesocial #contasabertas #pernambuco #cabodesantoagostinhope #bbb22"
1491913942368727042,"@PauloMartins10 Como se a culpa do desemprego, das mortes por covid, da renda baixa e desvalorizada fosse culpa do imposto sindical(valor de 1 dia de trabalho por ano). Graças a vcs as relações de trabalho, previdência social e economia estão um caos. Fora bolsonaro."
1491913914510188545,é claro gente depois que o covid entrou até na mansão dos velascos vcs acham que ela ia se arriscar sair de casa ficar perto desses estrupicios por essa versao podre nao ia
1491913858256191493,"@GFiuza_Oficial https://t.co/q9GrWJVn2i

@GFiuza_Oficial  poderia dar uma atenção pra esse caso.
É muito controverso o acontecido, a família é humilde e não tem condições de buscar a verdade dos fatos.
Para o especialista o caso é isolado."
1491913857014677517,Faz tempo que eu não pego gripe só covid 🙌
1491913838291304468,"Novidades de  #Israel.
 “Enquanto a quantidade de anticorpos diminui com o tempo em pacientes recuperados de COVID-19 e indivíduos vacinados, a qualidade dos anticorpos aumenta após a infecção, mas não após a vacinação” 
Boa notícia? Passa pra frente!!! https://t.co/sIcfywcMa6"
1491913837112614912,"Saudade de sofrer no ensino médio e de quando não existia covid, a vida era tão simples 😔😔😔😔😔😔"
1491913834243702787,"Mesmo depois de está livre do covid, ainda tenho alguns sintomas, só Jesus"
1491913816573161481,Vacina contra a covid-19 não chega a cerca de 85% da população africana. Não deixe de conferir as notícias sobre a pandemia no #JornalDaRecord https://t.co/Am4gLCD6We #JR24H https://t.co/uX4F0UyoWo
1491913811888152577,Paraíba registra 3.142 novos casos de Covid-19 nesta quinta https://t.co/QvlN0QmgGJ
1491913796042080276,"tô fazendo 16 meses com o ever hj e nem vamos nos ver essa semana, que raio de covid"
1491913775397715978,Bahia tem mais de 30 mil casos ativos de Covid-19 https://t.co/pYEHT2RkTb
1491913706422292482,"Cancelaram mesmo? Aí graças a Deus, chega de variante da covid https://t.co/mAIYbwWS9i https://t.co/04nnlrTWGo"
1491913686113521670,"@davyd_buckler KKKKKKKKKK a prof dele “é covid, vá fazer o teste” 
Davyd “porra de covid, mermao, foi o ar condicionado” 
RACHEEEI KKKKKKKKKKKKKK"
1491913670191988744,"Vacinação mudou o perfil de internados e mortos pela Covid-19 no Brasil, aponta estudo | #VacinasSalvamVidas https://t.co/vsBNlMJ3pC"
1491913647664287745,"Petrobras registra 2.191 casos de Covid-19 neste ano, sendo 707 nos últimos 14 dias
FUP reivindica a necessidade de testagem em massa em todas as unidades da empresa https://t.co/F1sWgmwbNi
#Resistencia1406ias #I3rasilQuintaSDV #LulaPresidente13
Siga nosso Instagram @DilmaResiste"
1491913641947451396,a demissão vem QUE ÓDIO COVID DE MERDA
1491913641393799168,@heepoety Minha amiga tá com suspeita de covid então tá bem mal
1491913630446673922,Claro que eu tinha que apanhar covid na pior altura possível 😡
1491913621940707329,"Meu Deus quanta negligência esses profissionais de pronto atendimento de covid aqui de Chapecó, e muita gente ainda reclama de Quaraí deveriam agradecer"
1491913620904505347,"Covid-19: Saúde vai revisar boletins que levaram a análise equivocada de dados.
https://t.co/Nex5jtOVXd https://t.co/8abaOfvaQZ"
